	photo number	hour	min	AM/PM
0	00001.png	 1	19	PM
1	00019.png	 	 	 
2	00037.png	 1	21	PM
3	00055.png	 1	22	PM
4	00073.png	 1	23	PM
5	00091.png	 1	24	PM
6	00109.png	 1	25	PM
7	00127.png	 	 	 
8	00163.png	 1	27	PM
9	00181.png	 1	28	PM
10	00199.png	 1	29	PM
11	00217.png	 1	30	PM
12	00235.png	 1	31	PM
13	00253.png	 1	31	PM
14	00271.png	 1	32	PM
15	00289.png	 1	33	PM
16	00307.png	 1	34	PM
17	00325.png	 1	35	PM
18	00343.png	 1	36	PM
19	00361.png	 1	37	PM
20	00379.png	 1	38	PM
21	00397.png	 1	38	PM
22	00415.png	 1	39	PM
23	00433.png	 1	40	PM
24	00451.png	 1	41	PM
25	00469.png	 1	41	PM
26	00487.png	 1	42	PM
27	00505.png	 1	42	PM
28	00523.png	 1	43	PM
29	00541.png	 1	44	PM
30	00559.png	 	 	 
31	00577.png	 1	45	PM
32	00595.png	 	 	 
33	00613.png	 1	46	PM
34	00631.png	 	 	 
35	00649.png	 1	47	PM
36	00667.png	 1	48	PM
37	00685.png	 1	49	PM
38	00703.png	 1	50	PM
39	00721.png	 	 	 
40	00739.png	 1	51	PM
41	00757.png	 1	52	PM
42	00775.png	 1	53	PM
43	00793.png	 1	53	PM
44	00811.png	 	 	 
45	00829.png	 	 	 
46	00847.png	 1	55	PM
47	00865.png	 	 	 
48	00883.png	 	 	 
49	00901.png	 1	57	PM
50	00919.png	 1	58	PM
51	00937.png	 1	59	PM
52	00955.png	 1	59	PM
53	00991.png	 2	00	PM
54	01009.png	 2	01	PM
55	01027.png	 2	01	PM
56	01045.png	 2	02	PM
57	01063.png	 2	03	PM
58	01081.png	 	 	 
59	01099.png	 2	04	PM
60	01117.png	 	 	 
61	01135.png	 	 	 
62	01153.png	 2	06	PM
63	01171.png	 2	07	PM
64	01189.png	 2	07	PM
65	01207.png	 2	07	PM
66	01225.png	 	 	 
67	01243.png	 2	08	PM
68	01261.png	 2	08	PM
69	01279.png	 2	09	PM
70	01297.png	 	 	 
71	01315.png	 	 	 
72	01333.png	 2	10	PM
73	01351.png	 	 	 
74	01369.png	 	 	 
75	01387.png	 2	12	PM
76	01405.png	 2	13	PM
77	01423.png	 2	14	PM
78	01441.png	 2	15	PM
79	01459.png	 	 	 
80	01477.png	 2	16	PM
81	01495.png	 	 	 
82	01513.png	 	 	 
83	01531.png	 2	18	PM
84	01549.png	 2	19	PM
85	01567.png	 2	19	PM
86	01585.png	 2	20	PM
87	01603.png	 2	20	PM
88	01621.png	 2	21	PM
89	01639.png	 	 	 
90	01657.png	 2	22	PM
91	01675.png	 2	23	PM
92	01693.png	 2	23	PM
93	01711.png	 2	24	PM
94	01729.png	 	 	 
95	01783.png	 2	28	PM
96	01801.png	 	 	 
97	01819.png	 2	29	PM
98	01837.png	 2	30	PM
99	01855.png	 	 	 
